Name,Gender,Language,Categories,Personalities,Speech Sample
Conrad,Male,German,General,"Friendly, Positive",mp3/German/de-DE-ConradNeural.mp3
Katja,Female,German,General,"Friendly, Positive",mp3/German/de-DE-KatjaNeural.mp3
Killian,Male,German,General,"Friendly, Positive",mp3/German/de-DE-KillianNeural.mp3
Jan,Male,German,General,"Friendly, Positive",mp3/German/de-CH-JanNeural.mp3
Leni,Female,German,General,"Friendly, Positive",mp3/German/de-CH-LeniNeural.mp3
Athina,Female,Greek,General,"Friendly, Positive",mp3/Greek/el-GR-AthinaNeural.mp3
Nestoras,Male,Greek,General,"Friendly, Positive",mp3/Greek/el-GR-NestorasNeural.mp3
Dhwani,Female,Gujarati,General,"Friendly, Positive",mp3/Gujarati/gu-IN-DhwaniNeural.mp3
Niranjan,Male,Gujarati,General,"Friendly, Positive",mp3/Gujarati/gu-IN-NiranjanNeural.mp3
Avri,Male,Hebrew,General,"Friendly, Positive",mp3/Hebrew/he-IL-AvriNeural.mp3
Hila,Female,Hebrew,General,"Friendly, Positive",mp3/Hebrew/he-IL-HilaNeural.mp3
Madhur,Male,Hindi,General,"Friendly, Positive",mp3/Hindi/hi-IN-MadhurNeural.mp3
Swara,Female,Hindi,General,"Friendly, Positive",mp3/Hindi/hi-IN-SwaraNeural.mp3
Noemi,Female,Hungarian,General,"Friendly, Positive",mp3/Hungarian/hu-HU-NoemiNeural.mp3
Tamas,Male,Hungarian,General,"Friendly, Positive",mp3/Hungarian/hu-HU-TamasNeural.mp3
Gudrun,Female,Icelandic,General,"Friendly, Positive",mp3/Icelandic/is-IS-GudrunNeural.mp3
Gunnar,Male,Icelandic,General,"Friendly, Positive",mp3/Icelandic/is-IS-GunnarNeural.mp3
Ardi,Male,Indonesian,General,"Friendly, Positive",mp3/Indonesian/id-ID-ArdiNeural.mp3
Gadis,Female,Indonesian,General,"Friendly, Positive",mp3/Indonesian/id-ID-GadisNeural.mp3
Colm,Male,Irish,General,"Friendly, Positive",mp3/Irish/ga-IE-ColmNeural.mp3
Orla,Female,Irish,General,"Friendly, Positive",mp3/Irish/ga-IE-OrlaNeural.mp3
GiuseppeMultilingual,Male,Italian,General,"Friendly, Positive",mp3/Italian/it-IT-GiuseppeMultilingualNeural.mp3
Diego,Male,Italian,General,"Friendly, Positive",mp3/Italian/it-IT-DiegoNeural.mp3
Elsa,Female,Italian,General,"Friendly, Positive",mp3/Italian/it-IT-ElsaNeural.mp3
Isabella,Female,Italian,General,"Friendly, Positive",mp3/Italian/it-IT-IsabellaNeural.mp3
Keita,Male,Japanese,General,"Friendly, Positive",mp3/Japanese/ja-JP-KeitaNeural.mp3
Nanami,Female,Japanese,General,"Friendly, Positive",mp3/Japanese/ja-JP-NanamiNeural.mp3
Dimas,Male,Javanese,General,"Friendly, Positive",mp3/Javanese/jv-ID-DimasNeural.mp3
Siti,Female,Javanese,General,"Friendly, Positive",mp3/Javanese/jv-ID-SitiNeural.mp3
Gagan,Male,Kannada,General,"Friendly, Positive",mp3/Kannada/kn-IN-GaganNeural.mp3
Sapna,Female,Kannada,General,"Friendly, Positive",mp3/Kannada/kn-IN-SapnaNeural.mp3
Aigul,Female,Kazakh,General,"Friendly, Positive",mp3/Kazakh/kk-KZ-AigulNeural.mp3
Daulet,Male,Kazakh,General,"Friendly, Positive",mp3/Kazakh/kk-KZ-DauletNeural.mp3
Piseth,Male,Khmer,General,"Friendly, Positive",mp3/Khmer/km-KH-PisethNeural.mp3
Sreymom,Female,Khmer,General,"Friendly, Positive",mp3/Khmer/km-KH-SreymomNeural.mp3
HyunsuMultilingual,Male,Korean,General,"Friendly, Positive",mp3/Korean/ko-KR-HyunsuMultilingualNeural.mp3
InJoon,Male,Korean,General,"Friendly, Positive",mp3/Korean/ko-KR-InJoonNeural.mp3
SunHi,Female,Korean,General,"Friendly, Positive",mp3/Korean/ko-KR-SunHiNeural.mp3
Chanthavong,Male,Lao,General,"Friendly, Positive",mp3/Lao/lo-LA-ChanthavongNeural.mp3
